SSERIC1S2E11,CA_000093_48735_00
SSERIC1S2E12,CA_000093_48740_00
SSERIC1S2E13,CA_000093_48736_00
SFSPIN1S1E1,CA_000493_43894_00
SFSPIN1S1E2,CA_000493_43895_00
SFSPIN1S1E3,CA_000493_43896_00
SFSPIN1S1E4,CA_000493_43898_00
SFSPIN1S1E5,CA_000493_43897_00
SFSPIN1S1E6,CA_000493_43899_00
SFSPIN1S1E7,CA_000493_43900_00
SFSPIN1S1E8,CA_000493_43901_00
SFSPIN1S1E9,CA_000493_43902_00
SFSPIN1S1E10,CA_000493_43903_00
SFSPIN1S1E11,CA_000493_43904_00
SFSPIN1S1E12,CA_000493_43905_00
SFSPIN1S1E13,CA_000493_43906_00
SFSPIN1S1E14,CA_000493_43907_00
SFSPIN1S1E15,CA_000493_43908_00
SFSPIN1S1E16,CA_000493_43909_00
SSSCOM1S1E17,CA_000431_38297_00
SSSCOM1S1E18,CA_000431_38298_00
SSSCOM1S1E19,CA_000431_38299_00
SSSCOM1S1E20,CA_000431_38300_00
SSSCOM1S1E21,CA_000431_38301_00
SSSCOM1S1E22,CA_000431_38302_00
SSSCOM1S1E23,CA_000431_38303_00
SSSCOM1S1E24,CA_000431_38304_00
SSSCOM1S1E25,CA_000431_38305_00
SSSCOM1S1E26,CA_000431_38306_00
SSSCOM1S1E27,CA_000431_38307_00
SSSCOM1S1E28,CA_000431_38308_00
SSSCOM1S1E29,CA_000431_38309_00
SSSCOM1S1E30,CA_000431_38310_00
SDETUR1S1E1,CA_999387_35712_00
SDETUR1S1E2,CA_999387_35685_00
SDETUR1S1E3,CA_999387_35705_00
SDETUR1S1E4,CA_999387_35731_00
SDETUR1S1E5,CA_999387_35713_00
SDETUR1S1E6,CA_999387_35684_00
SDETUR1S1E7,CA_999387_35711_00
SDETUR1S1E8,CA_999387_35720_00
SDETUR1S1E9,CA_999387_35683_00
SDETUR1S1E10,CA_999387_35708_00
SDETUR1S1E11,CA_999387_35686_00
SDETUR1S1E12,CA_999387_35777_00
SDETUR1S1E13,CA_999387_35709_00
SDETUR1S1E14,CA_999387_35804_00
SDETUR1S1E15,CA_999387_35752_00
SDETUR1S1E16,CA_999387_35776_00
SDETUR1S1E17,CA_999387_35710_00
SDETUR1S1E18,CA_999387_35791_00
SDETUR1S1E19,CA_999387_35741_00
SDETUR1S1E20,CA_999387_35853_00
SDETUR1S1E21,CA_999387_35688_00
SDETUR1S1E22,CA_999387_35805_00
SDETUR1S1E23,CA_999387_35841_00
SDETUR1S1E24,CA_999387_35689_00
SDETUR1S1E25,CA_999387_35806_00
SDETUR1S1E26,CA_999387_35843_00
SDETUR1S1E27,CA_999387_35706_00
SDETUR1S1E28,CA_999387_35753_00
SDETUR1S1E29,CA_999387_35754_00
SDETUR1S1E30,CA_999387_35690_00
SDETUR1S1E31,CA_999387_35682_00
SDETUR1S1E32,CA_999387_35691_00
SDETUR1S1E33,CA_999387_35732_00
SDETUR1S1E34,CA_999387_35842_00
SDETUR1S1E35,CA_999387_35854_00
SDETUR1S1E36,CA_999387_35687_00
SDETUR1S1E37,CA_999387_35769_00
SDETUR1S1E38,CA_999387_35742_00
SDETUR1S1E39,CA_999387_35707_00
SDETUR1S1E40,CA_999387_35692_00
SDETUR1S2E1,CA_999387_35865_00
SDETUR1S2E2,CA_999387_35792_00
SDETUR1S2E3,CA_999387_35844_00
SDETUR1S2E4,CA_999387_35793_00
SDETUR1S2E5,CA_999387_35735_00
SDETUR1S2E6,CA_999387_35779_00
SDETUR1S2E7,CA_999387_35721_00
SDETUR1S2E8,CA_999387_35722_00
SDETUR1S2E9,CA_999387_35866_00
SDETUR1S2E10,CA_999387_35755_00
SDETUR1S2E11,CA_999387_35816_00
SDETUR1S2E12,CA_999387_35794_00
SDETUR1S2E13,CA_999387_35845_00
SDETUR1S2E14,CA_999387_35693_00
SDETUR1S2E15,CA_999387_35822_00
SDETUR1S2E16,CA_999387_35823_00
SDETUR1S2E17,CA_999387_35795_00
SDETUR1S2E18,CA_999387_35824_00
SDETUR1S2E19,CA_999387_35796_00
SDETUR1S2E20,CA_999387_35807_00
SDETUR1S2E21,CA_999387_35825_00
SDETUR1S2E22,CA_999387_35723_00
SDETUR1S2E23,CA_999387_35867_00
